Neighbourhood Name,Neighbourhood Number,Number,Median age of the population,    Median total income in 2019 among recipients ($),Population,Distress Calls,DC over Population,,ARHr2022,CrimeRate,Common Language,NonIm,Im
Pelmo Park-Humberlea,023,23,40.8,37600,11290,551,0.048804252,1.17776897,773.1742163,1.181498455,Italian,0.505314438,0.495128432
Black Creek,024,24,37.6,25200,21145,1917,0.09065973,1.018520143,1110.236909,1.033969738,Vietnamese,0.365098132,0.634665406
Glenfield-Jane Heights,025,25,40,27000,30020,1993,0.066389074,1.014751904,993.0270203,0.910922329,Vietnamese,0.376186511,0.623813489
York University Heights,027,27,35.6,28800,28255,3146,0.111343125,1.028833146,1295.022258,1.093443011,"Tagalog (Pilipino, Filipino)",0.33374624,0.66625376
Rustic,028,28,40.4,27800,9390,573,0.061022364,1.02384953,753.9145564,1.129065053,Italian,0.46485623,0.535676251
Maple Leaf,029,29,43.6,34000,9845,494,0.050177755,1.031958725,530.3532531,1.772832482,Italian,0.451727642,0.548780488
Brookhaven-Amesbury,030,30,38.4,32000,17495,1332,0.076136039,1.014341591,926.520994,1.32689565,Portuguese,0.433838239,0.566733352
Yorkdale-Glen Park,031,31,39.6,34800,16625,1742,0.104781955,1.159922487,1270.200966,1.336341015,Italian,0.433082707,0.567218045
Englemount-Lawrence,032,32,38.4,36000,21285,1487,0.069861405,1.071008809,378.2682795,0.82745525,"Tagalog (Pilipino, Filipino)",0.51150775,0.48849225
Clanton Park,033,33,38.8,39600,17620,974,0.055278093,1.148116326,728.012419,1.361252537,"Tagalog (Pilipino, Filipino)",0.50737798,0.49262202
Bathurst Manor,034,34,42.4,34800,15955,947,0.059354434,1.064790985,441.3582063,1.261957596,Russian,0.447821999,0.551864619
Westminster-Branson,035,35,44,29600,25705,1406,0.05469753,1.034560506,366.3402249,1.038421512,Russian,0.27854503,0.72145497
Newtonbrook West,036,36,42,28000,23805,2313,0.097164461,1.068422048,1008.11124,1.369116822,"Tagalog (Pilipino, Filipino)",0.263180004,0.737030036
Willowdale West,037,37,40,34000,17160,1501,0.087470862,1.158551246,644.993498,1.144021787,Mandarin,0.336440431,0.663268278
Lansing-Westgate,038,38,39.6,42000,15910,1018,0.063984915,1.097252437,471.2695889,1.294158894,Mandarin,0.476744186,0.523570082
Bedford Park-Nortown,039,39,44,54400,22145,1403,0.063355159,1.067099511,214.771507,0.782217673,"Tagalog (Pilipino, Filipino)",0.687514112,0.312260104
St.Andrew-Windfields,040,40,45.2,45600,16960,1221,0.071992925,1.073061561,335.6045968,1.070489738,Mandarin,0.45591271,0.544382188
Bridle Path-Sunnybrook-York Mills,041,41,49.2,72500,8940,758,0.084787472,1.135952171,374.6037845,1.499847361,Mandarin,0.61409396,0.386465324
Banbury-Don Mills,042,42,48.4,45200,27155,1703,0.062714049,1.099793675,418.1345274,1.540471364,Mandarin,0.465561694,0.534438306
