,Unnamed: 0,newId,id,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,result,main_id,main_seed,main_entry,main_name,main_hand,main_ht,main_ioc,main_age,opp_id,opp_seed,opp_entry,opp_name,opp_hand,opp_ht,opp_ioc,opp_age,score,best_of,round,roundNum,minutes,main_ace,main_df,main_svpt,main_1stIn,main_1stWon,main_2ndWon,main_ptsWonSrv,main_ptsWonRei,main_SvGms,main_bpSaved,main_bpFaced,main_1stInPct,main_dfPct,main_1stWonPct,main_2ndWonPct,main_1stOppPct,main_2ndOppPct,opp_ace,opp_df,opp_svpt,opp_1stIn,opp_1stWon,opp_2ndWon,opp_ptsWonSrv,opp_ptsWonRei,opp_SvGms,opp_bpSaved,opp_bpFaced,opp_1stWonPct,opp_2ndWonPct,opp_1stOppPct,opp_2ndOppPct,main_rank,main_rank_points,opp_rank,opp_rank_points,rank_diff,sample,pct1stSrv,pct1stSrvWon,pct2ndSrvWon,pctOpp1stSrvWon,pctOpp2ndSrvWon,AcesPerSrv,DFPerSrv,BPSaved,BPCon,AvgOppRank,AvgOppRankPts,accuracy,mAvgRank,check
712,668,2023-7235288R16L,2023-7235288R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,288.0,L,105332.0,3.0,,Benoit Paire,R,196.0,FRA,34.5,105311.0,,,Joao Sousa,R,185.0,POR,34.6,6-1 7-6(4),3.0,R16,5,80.0,10.0,7.0,67.0,38.0,30.0,12.0,42.0,21.0,9.0,7.0,9.0,0.567164179,,0.789473684,0.413793103,0.3,0.24,3.0,0.0,75.0,50.0,35.0,19.0,54.0,25.0,10.0,6.0,6.0,0.7,0.76,0.210526316,0.586206897,126.0,505.0,267.0,216.0,-141.0,83.0,0.633484918,0.711175664,0.532034467,0.285613716,0.548620948,,,,,344.6710724,281.2224855,,296.1773485,Benoit PaireJoao SousaR166775
713,669,2023-7235288R16W,2023-7235288R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,288.0,W,105311.0,,,Joao Sousa,R,185.0,POR,34.6,105332.0,3.0,,Benoit Paire,R,196.0,FRA,34.5,6-1 7-6(4),3.0,R16,5,80.0,3.0,0.0,75.0,50.0,35.0,19.0,54.0,25.0,10.0,6.0,6.0,0.666666667,,0.7,0.76,0.210526316,0.586206897,10.0,7.0,67.0,38.0,30.0,12.0,42.0,21.0,9.0,7.0,9.0,0.789473684,0.413793103,0.3,0.24,267.0,216.0,126.0,505.0,141.0,116.0,0.51665907,0.744914157,0.43520967,0.316247693,0.516506061,,,,,296.1773485,299.5094938,,344.6710724,Joao SousaBenoit PaireR167567
714,670,2023-7235289R16L,2023-7235289R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,289.0,L,200008.0,7.0,,Alexis Galarneau,R,,CAN,24.7,111454.0,,,Li Tu,R,180.0,AUS,27.4,7-6(5) 6-2,3.0,R16,5,95.0,4.0,1.0,75.0,47.0,33.0,10.0,43.0,21.0,10.0,6.0,9.0,0.626666667,,0.70212766,0.357142857,0.214285714,0.545454545,8.0,1.0,64.0,42.0,33.0,10.0,43.0,32.0,10.0,0.0,1.0,0.785714286,0.454545455,0.29787234,0.642857143,198.0,309.0,271.0,214.0,-73.0,56.0,0.587093985,0.733485531,0.531508771,0.27011547,0.521127561,,,,,363.1872657,293.1499699,,273.4485089,Alexis GalarneauLi TuR167564
715,671,2023-7235289R16W,2023-7235289R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,289.0,W,111454.0,,,Li Tu,R,180.0,AUS,27.4,200008.0,7.0,,Alexis Galarneau,R,,CAN,24.7,7-6(5) 6-2,3.0,R16,5,95.0,8.0,1.0,64.0,42.0,33.0,10.0,43.0,32.0,10.0,0.0,1.0,0.65625,,0.785714286,0.454545455,0.29787234,0.642857143,4.0,1.0,75.0,47.0,33.0,10.0,43.0,21.0,10.0,6.0,9.0,0.70212766,0.357142857,0.214285714,0.545454545,271.0,214.0,198.0,309.0,73.0,51.0,0.600831829,0.709626501,0.496257591,0.271026979,0.524911063,,,,,273.4485089,287.5880115,,363.1872657,Li TuAlexis GalarneauR166475
716,672,2023-7235290R16L,2023-7235290R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,290.0,L,200277.0,,,Charles Broom,U,,GBR,25.5,144826.0,8.0,,Aziz Dougaz,L,188.0,TUN,26.6,3-6 6-4 6-1,3.0,R16,5,98.0,8.0,2.0,77.0,53.0,35.0,13.0,48.0,23.0,13.0,9.0,13.0,0.688311688,,0.660377358,0.541666667,0.195652174,0.538461538,10.0,1.0,72.0,46.0,37.0,12.0,49.0,29.0,13.0,0.0,2.0,0.804347826,0.461538462,0.339622642,0.458333333,322.0,166.0,233.0,261.0,89.0,59.0,0.558890076,0.759247451,0.491771053,0.256481758,0.549061291,,,,,256.632709,247.9519802,,385.8262647,Charles BroomAziz DougazR167772
717,673,2023-7235290R16W,2023-7235290R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,290.0,W,144826.0,8.0,,Aziz Dougaz,L,188.0,TUN,26.6,200277.0,,,Charles Broom,U,,GBR,25.5,3-6 6-4 6-1,3.0,R16,5,98.0,10.0,1.0,72.0,46.0,37.0,12.0,49.0,29.0,13.0,0.0,2.0,0.638888889,,0.804347826,0.461538462,0.339622642,0.458333333,8.0,2.0,77.0,53.0,35.0,13.0,48.0,23.0,13.0,9.0,13.0,0.660377358,0.541666667,0.195652174,0.538461538,233.0,261.0,322.0,166.0,-89.0,38.0,0.584491782,0.690170344,0.510954698,0.339279752,0.522449488,,,,,385.8262647,266.5372723,,256.632709,Aziz DougazCharles BroomR167277
718,674,2023-7235291R16L,2023-7235291R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,291.0,L,208119.0,,SE,Liam Draxl,R,,CAN,21.9,202398.0,,,Michael Vrbensky,R,180.0,CZE,23.8,6-7(4) 6-3 7-5,3.0,R16,5,160.0,20.0,1.0,96.0,73.0,54.0,10.0,64.0,33.0,16.0,1.0,4.0,0.760416667,,0.739726027,0.434782609,0.206349206,0.434782609,5.0,5.0,109.0,63.0,50.0,26.0,76.0,32.0,17.0,4.0,5.0,0.793650794,0.565217391,0.260273973,0.565217391,297.0,185.0,336.0,152.0,-39.0,45.0,0.549919044,0.709016244,0.475138231,0.304404475,0.461222058,,,,,512.3850921,115.1551547,,345.4420504,Liam DraxlMichael VrbenskyR1696109
719,675,2023-7235291R16W,2023-7235291R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,291.0,W,202398.0,,,Michael Vrbensky,R,180.0,CZE,23.8,208119.0,,SE,Liam Draxl,R,,CAN,21.9,6-7(4) 6-3 7-5,3.0,R16,5,160.0,5.0,5.0,109.0,63.0,50.0,26.0,76.0,32.0,17.0,4.0,5.0,0.577981651,,0.793650794,0.565217391,0.260273973,0.565217391,20.0,1.0,96.0,73.0,54.0,10.0,64.0,33.0,16.0,1.0,4.0,0.739726027,0.434782609,0.206349206,0.434782609,336.0,152.0,297.0,185.0,39.0,17.0,0.698644865,0.733822876,0.517323914,0.338671956,0.575386138,,,,,345.4420504,264.0253749,,512.3850921,Michael VrbenskyLiam DraxlR1610996
720,676,2023-7235292R16L,2023-7235292R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,292.0,L,212259.0,,Q,Benjamin Thomas George,U,,CAN,,200267.0,6.0,,Zizou Bergs,R,185.0,BEL,24.4,6-3 6-2,3.0,R16,5,72.0,0.0,3.0,61.0,45.0,25.0,7.0,32.0,12.0,8.0,3.0,6.0,0.737704918,,0.555555556,0.4375,0.222222222,0.285714286,4.0,2.0,48.0,27.0,21.0,15.0,36.0,29.0,9.0,0.0,0.0,0.777777778,0.714285714,0.444444444,0.5625,1852.0,1.0,174.0,358.0,1678.0,50.0,0.619416274,0.793632186,0.555334698,0.298645348,0.501438698,,,,,259.9868639,395.42818,,848.0,Benjamin Thomas GeorgeZizou BergsR166148
721,677,2023-7235292R16W,2023-7235292R16,2023-7235,Drummondville CH,Hard,,,2023-11-13,292.0,W,200267.0,6.0,,Zizou Bergs,R,185.0,BEL,24.4,212259.0,,Q,Benjamin Thomas George,U,,CAN,,6-3 6-2,3.0,R16,5,72.0,4.0,2.0,48.0,27.0,21.0,15.0,36.0,29.0,9.0,0.0,0.0,0.5625,,0.777777778,0.714285714,0.444444444,0.5625,0.0,3.0,61.0,45.0,25.0,7.0,32.0,12.0,8.0,3.0,6.0,0.555555556,0.4375,0.222222222,0.285714286,174.0,358.0,1852.0,1.0,-1678.0,6.0,0.653846154,0.669117647,0.444444444,0.412371134,0.685393258,,,,,848.0,64.33333333,,259.9868639,Zizou BergsBenjamin Thomas GeorgeR164861
